,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1859,36860,Lucidity,PC,LucasArts  ,LucasArts  ,N/A  ,7.0  ,N/A  ,,,,,,,07th Oct 09  ,
1890,36891,Lula 3D,PC,CDV Software Entertainment  ,cdv Software  ,N/A  ,2.0  ,N/A  ,,,,,,,22nd Jun 05  ,
1915,36916,Lunar: Eternal Blue,SCD,Working Designs  ,Game Arts  ,N/A  ,8.9  ,N/A  ,,,,,,,01st Sep 95  ,
1917,36918,Lunar: Silver Star Harmony,PSN,Xseed Games  ,Game Arts  ,N/A  ,7.9  ,N/A  ,,,,,,,04th Mar 10  ,
1918,36919,Lunar: The Silver Star,SCD,Working Designs  ,Game Arts  ,N/A  ,8.8  ,N/A  ,,,,,,,01st Dec 93  ,
1936,36937,Luxor 2,XBL,United Developers  ,MumboJumbo  ,N/A  ,5.5  ,N/A  ,,,,,,,04th Apr 07  ,
1974,36975,Maboshi's Arcade,WW,Nintendo  ,Nintendo  ,N/A  ,8.5  ,N/A  ,,,,,,,29th Dec 08  ,
1993,36994,Macross M3,DC,Shoeisha  ,Shoeisha  ,N/A  ,4.0  ,N/A  ,,,,,,,22nd Feb 01  ,
2027,37028,MadBalls in... Babo: Invasion,XBL,Microsoft  ,Playbrains  ,N/A  ,7.5  ,N/A  ,,,,,,,15th Jul 09  ,
2037,37038,Madden NFL 07,PC,EA Sports  ,EA Tiburon  ,N/A  ,8.5  ,N/A  ,,,,,,,22nd Aug 06  ,
2068,37069,Madden NFL Arcade,XBL,EA Sports  ,EA Tiburon  ,N/A  ,6.3  ,N/A  ,,,,,,,25th Nov 09  ,
2094,37095,Mag Force Racing,DC,Crave Entertainment  ,VCC Entertainment  ,N/A  ,6.9  ,N/A  ,,,,,,,13th Jul 00  ,
2095,37096,MAG: Massive Action Game,PSN,Sony Computer Entertainment  ,Zipper Interactive  ,N/A  ,7.4  ,N/A  ,,,,,,,21st Dec 10  ,
2115,37116,Magic Carpet,PC,Electronic Arts  ,Bullfrog Productions  ,N/A  ,9.0  ,N/A  ,,,,,,,06th May 94  ,
2130,37131,Magic: The Gathering - Duels of the Planeswalkers,PC,Wizards of the Coast  ,Stainless Games  ,N/A  ,7.5  ,N/A  ,,,,,,,15th Jun 10  ,
