,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
19,20,Wii Sports,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,82.90m,,,,,,19th Nov 06  ,
56,57,Super Mario Bros.,NES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,8.2  ,40.24m,,,,,,18th Oct 85  ,
62,63,Mario Kart Wii,Wii,Nintendo  ,Nintendo EAD  ,8.7  ,8.2  ,9.1  ,37.32m,,,,,,27th Apr 08  ,11th Apr 18
71,72,Minecraft,PC,Mojang  ,Mojang AB  ,N/A  ,10.0  ,N/A  ,33.15m,,,,,,10th May 10  ,05th Aug 18
72,73,Wii Sports Resort,Wii,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,33.13m,,,,,,26th Jul 09  ,
75,76,Pokémon Red / Green / Blue Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.4  ,N/A  ,31.38m,,,,,,30th Sep 98  ,
78,79,New Super Mario Bros.,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,8.1  ,30.80m,,,,,,15th May 06  ,
79,80,New Super Mario Bros. Wii,Wii,Nintendo  ,Nintendo EAD  ,9.1  ,8.6  ,9.2  ,30.30m,,,,,,15th Nov 09  ,
89,90,Wii Play,Wii,Nintendo  ,Nintendo EAD  ,5.3  ,5.9  ,4.5  ,28.02m,,,,,,12th Feb 07  ,
100,101,Mario Kart 8 Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.3  ,N/A  ,24.77m,,,,,,28th Apr 17  ,19th Nov 18
101,102,Kinect Adventures!,X360,Microsoft Game Studios  ,Good Science Studio  ,6.2  ,6.7  ,N/A  ,24.00m,,,,,,04th Nov 10  ,29th Sep 18
103,104,Nintendogs,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,23.96m,,,,,,23rd Aug 05  ,
104,105,Mario Kart DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,,,,,,14th Nov 05  ,
105,106,Pokémon Gold / Silver Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,,,,,,14th Oct 00  ,
107,108,Wii Fit,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,,,,,,21st May 08  ,
112,113,Wii Fit Plus,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,,,,,,04th Oct 09  ,
114,115,Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,,,,,,13th Aug 91  ,10th Aug 18
115,116,Grand Theft Auto V,PS3,Rockstar Games  ,Rockstar North  ,N/A  ,9.4  ,N/A  ,,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,
131,132,Grand Theft Auto V,PS4,Rockstar Games  ,Rockstar North  ,N/A  ,9.7  ,N/A  ,,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  ,03rd Jan 18
133,134,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.1  ,N/A  ,19.01m,,,,,,17th Apr 06  ,
136,137,Super Smash Bros. Ultimate,NS,Nintendo  ,Bandai Namco Games  ,9.0  ,9.4  ,9.7  ,18.84m,,,,,,07th Dec 18  ,18th Oct 18
137,138,Mario Kart 7,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,N/A  ,8.2  ,N/A  ,18.71m,,,,,,04th Dec 11  ,
140,141,Pokémon Diamond / Pearl Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,N/A  ,17.67m,,,,,,28th Apr 07  ,
143,144,Super Mario Odyssey,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,N/A  ,17.41m,,,,,,27th Oct 17  ,19th Nov 18
144,145,The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,10.0  ,17.41m,,,,,,03rd Mar 17  ,19th Nov 18
146,147,Grand Theft Auto: San Andreas,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.5  ,N/A  ,17.30m,,,,,,26th Oct 04  ,
154,155,Pokémon X/Y,3DS,Nintendo  ,Game Freak  ,N/A  ,8.9  ,9.7  ,16.45m,,,,,,12th Oct 13  ,06th Jan 18
155,156,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,9.2  ,N/A  ,16.25m,,,,,,10th May 16  ,23rd Sep 18
156,157,Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.8  ,N/A  ,16.22m,,,,,,17th Mar 03  ,
157,158,Pokémon Sun/Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,9.0  ,N/A  ,16.18m,,,,,,18th Nov 16  ,03rd Aug 18
159,160,Grand Theft Auto: Vice City,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.6  ,N/A  ,,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02  ,
164,165,Pokémon Black / White Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,9.0  ,15.64m,,,,,,06th Mar 11  ,
168,169,Counter-Strike: Source,PC,VU Games  ,Valve Software  ,N/A  ,9.3  ,N/A  ,15.00m,,,,,,16th Nov 04  ,
178,179,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.3  ,N/A  ,14.89m,,,,,,09th Jul 01  ,
179,180,Brain Age 2: More Training in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.0  ,N/A  ,14.88m,,,,,,20th Aug 07  ,
180,181,Call of Duty: Modern Warfare 3,X360,Activision  ,Infinity Ward  ,N/A  ,8.7  ,N/A  ,,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  ,
181,182,Call of Duty: Black Ops,X360,Activision  ,Treyarch  ,N/A  ,8.8  ,N/A  ,,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10  ,
182,183,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,14.64m,,,,,,19th Oct 99  ,
183,184,Halo 3,X360,Microsoft Game Studios  ,Bungie Studios  ,8.8  ,9.6  ,9.5  ,14.50m,,,,,,25th Sep 07  ,11th Oct 18
187,188,Terraria,PC,Unknown  ,Re-Logic  ,N/A  ,8.8  ,N/A  ,14.00m,,,,,,16th May 11  ,19th Mar 18
189,190,Red Dead Redemption 2,PS4,Rockstar Games  ,Rockstar Games  ,8.0  ,9.8  ,N/A  ,,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18  ,02nd Nov 18
192,193,Call of Duty: Modern Warfare 2,X360,Activision  ,Infinity Ward  ,9.0  ,9.5  ,9.0  ,,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09  ,
195,196,Call of Duty: WWII,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.0  ,N/A  ,,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17  ,31st Dec 17
196,197,Call of Duty: Modern Warfare 3,PS3,Activision  ,Infinity Ward  ,N/A  ,8.8  ,N/A  ,,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11  ,
197,198,New Super Mario Bros. 2,3DS,Nintendo  ,Nintendo  ,N/A  ,7.5  ,N/A  ,13.34m,,,,,,19th Aug 12  ,30th Jan 18
198,199,Super Smash Bros. Brawl,Wii,Nintendo  ,Project Sora  ,9.2  ,9.2  ,9.7  ,13.32m,,,,,,09th Mar 08  ,
199,200,Marvel's Spider-Man,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.0  ,9.1  ,N/A  ,13.20m,,,,,,07th Sep 18  ,26th Sep 18
200,201,Grand Theft Auto III,PS2,Rockstar Games  ,DMA Design  ,N/A  ,9.5  ,N/A  ,,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01  ,
201,202,Portal 2,PC,Valve  ,Valve Software  ,N/A  ,9.7  ,N/A  ,13.06m,,,,,,19th Apr 11  ,
206,207,Super Mario Galaxy,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.6  ,12.80m,,,,,,12th Nov 07  ,
207,208,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo  ,Game Freak  ,8.5  ,8.6  ,N/A  ,12.72m,,,,,,14th Mar 10  ,
208,209,Super Mario 3D Land,3DS,Nintendo  ,Nintendo EAD Tokyo  ,N/A  ,8.9  ,N/A  ,12.70m,,,,,,13th Nov 11  ,06th Apr 18
209,210,Call of Duty: Black Ops,PS3,Activision  ,Treyarch  ,N/A  ,8.7  ,N/A  ,,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10  ,
212,213,Animal Crossing: New Leaf,3DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.6  ,N/A  ,12.55m,,,,,,09th Jun 13  ,02nd Jan 18
219,220,Diablo III,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,8.4  ,9.0  ,N/A  ,12.00m,,,,,,15th May 12  ,03rd Jan 18
220,221,Half-Life 2,PC,VU Games  ,Valve Software  ,N/A  ,9.7  ,N/A  ,12.00m,,,,,,16th Nov 04  ,
223,224,Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.3  ,N/A  ,12.00m,,,,,,07th Sep 04  ,
225,226,World of Warcraft,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,9.2  ,8.0  ,12.00m,,,,,,23rd Nov 04  ,22nd Apr 18
228,229,Gran Turismo 5,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.3  ,N/A  ,11.95m,,,,,,24th Nov 10  ,
229,230,Super Mario 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.7  ,N/A  ,11.91m,,,,,,26th Sep 96  ,
230,231,FIFA 18,PS4,EA Sports  ,EA Vancouver  ,N/A  ,8.3  ,N/A  ,,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17  ,02nd Apr 18
231,232,The Last of Us Remastered,PS4,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.5  ,N/A  ,11.78m,,,,,,29th Jul 14  ,24th Sep 18
232,233,Gran Turismo 4,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.7  ,N/A  ,11.76m,,,,,,22nd Feb 05  ,
233,234,Animal Crossing: Wild World,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,11.75m,,,,,,05th Dec 05  ,
235,236,Super Mario Land 2: 6 Golden Coins,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,11.18m,,,,,,02nd Nov 92  ,
237,238,Grand Theft Auto IV,X360,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,N/A  ,,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08  ,
238,239,Super Mario 64 DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.6  ,N/A  ,11.06m,,,,,,20th Nov 04  ,
240,241,God of War (2018),PS4,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.0  ,9.7  ,10.0  ,11.00m,,,,,,20th Apr 18  ,03rd Dec 18
241,242,StarCraft,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.7  ,N/A  ,11.00m,,,,,,01st Apr 98  ,23rd Nov 18
242,243,FIFA 17,PS4,Electronic Arts  ,EA Canada  ,N/A  ,8.9  ,N/A  ,,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16  ,28th Mar 18
243,244,Gran Turismo,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.5  ,N/A  ,10.85m,,,,,,30th Apr 98  ,
245,246,Call of Duty: Modern Warfare 2,PS3,Activision  ,Infinity Ward  ,9.0  ,9.5  ,N/A  ,,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09  ,
247,248,Grand Theft Auto IV,PS3,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,9.0  ,,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08  ,
250,251,Call of Duty: Ghosts,X360,Activision  ,Infinity Ward  ,N/A  ,6.9  ,N/A  ,,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13  ,21st Mar 18
252,253,Just Dance 3,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.5  ,N/A  ,,10.14m,5.95m,3.13m,,1.06m,07th Oct 11  ,
253,254,Call of Duty: Ghosts,PS3,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13  ,21st Mar 18
254,255,Splatoon 2,NS,Nintendo  ,Nintendo EPD  ,N/A  ,8.2  ,N/A  ,10.13m,,,,,,21st Jul 17  ,19th Nov 18
255,256,Super Mario Party,NS,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0  ,7.3  ,N/A  ,10.10m,,,,,,05th Oct 18  ,19th Nov 18
259,260,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,9.1  ,8.0  ,10.00m,,,,,,28th Feb 17  ,15th Jan 18
264,265,RollerCoaster Tycoon 3,PC,Atari  ,Frontier Developments  ,N/A  ,8.3  ,N/A  ,10.00m,,,,,,26th Oct 04  ,
269,270,Halo: Reach,X360,Microsoft Game Studios  ,Bungie  ,N/A  ,9.3  ,N/A  ,,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10  ,11th Oct 18
270,271,Portal,PC,Valve Corporation  ,Valve Software  ,N/A  ,9.0  ,N/A  ,9.97m,,,,,,09th Apr 08  ,
274,275,Final Fantasy VII,PS,Sony Computer Entertainment  ,SquareSoft  ,N/A  ,9.6  ,9.5  ,9.90m,,,,,,03rd Sep 97  ,23rd Mar 19
277,278,Mario Kart 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,9.87m,,,,,,10th Feb 97  ,
279,280,Super Smash Bros. for 3DS,3DS,Nintendo  ,Bandai Namco Games  ,N/A  ,8.4  ,N/A  ,9.59m,,,,,,03rd Oct 14  ,11th Apr 18
282,283,Call of Duty 4: Modern Warfare,X360,Activision  ,Infinity Ward  ,N/A  ,9.6  ,9.0  ,,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07  ,
284,285,Gran Turismo 2,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.2  ,N/A  ,9.37m,,,,,,17th Jan 99  ,
285,286,Wii Party,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,7.0  ,N/A  ,9.34m,,,,,,03rd Oct 10  ,
287,288,Mario Party DS,DS,Nintendo  ,Hudson Soft  ,N/A  ,7.1  ,N/A  ,9.31m,,,,,,19th Nov 07  ,
288,289,Donkey Kong Country,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,9.0  ,N/A  ,9.30m,,,,,,21st Nov 94  ,
289,290,Half-Life,PC,Sierra Entertainment  ,Valve Software  ,N/A  ,9.5  ,N/A  ,9.30m,,,,,,19th Nov 98  ,
290,291,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.3  ,6.3  ,9.30m,,,,,,01st Nov 11  ,
292,293,Rust,PC,Facepunch Studios  ,Facepunch Studios  ,N/A  ,6.1  ,N/A  ,9.02m,,,,,,08th Feb 18  ,19th Mar 18
296,297,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.3  ,N/A  ,,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11  ,01st Apr 18
297,298,Mario Party 8,Wii,Nintendo  ,Hudson Soft  ,N/A  ,6.5  ,N/A  ,8.85m,,,,,,29th May 07  ,
298,299,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,8.1  ,N/A  ,8.77m,,,,,,17th Nov 17  ,03rd Aug 18
299,300,Super Mario Kart,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,8.76m,,,,,,01st Sep 92  ,
300,301,Grand Theft Auto V,XOne,Rockstar Games  ,Rockstar North  ,N/A  ,9.0  ,9.0  ,,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14  ,11th Apr 18
301,302,Final Fantasy VIII,PS,Square EA  ,SquareSoft  ,N/A  ,9.4  ,N/A  ,8.60m,,,,,,07th Sep 99  ,
302,303,Final Fantasy X,PS2,Square  ,SquareSoft  ,N/A  ,9.0  ,10.0  ,8.60m,,,,,,17th Dec 01  ,
303,304,Pokémon Black 2 and White 2,DS,Nintendo  ,Game Freak  ,N/A  ,8.0  ,8.3  ,8.52m,,,,,,07th Oct 12  ,25th Feb 18
305,306,Fallout 4,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.6  ,N/A  ,,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15  ,24th Mar 18
306,307,Mario Kart 8,WiiU,Nintendo  ,Nintendo  ,N/A  ,8.8  ,N/A  ,8.45m,,,,,,30th May 14  ,02nd Aug 20
308,309,Tekken 3,PS,Namco  ,Namco  ,N/A  ,9.6  ,N/A  ,8.30m,,,,,,29th Apr 98  ,
309,310,FIFA 16,PS4,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15  ,01st Apr 18
310,311,The Last of Us,PS3,Sony Computer Entertainment America  ,Naughty Dog  ,N/A  ,9.5  ,N/A  ,8.15m,,,,,,14th Jun 13  ,24th Sep 18
311,312,GoldenEye 007,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.8  ,N/A  ,8.09m,,,,,,25th Aug 97  ,
312,313,Star Wars Battlefront (2015),PS4,Electronic Arts  ,EA DICE  ,N/A  ,7.1  ,N/A  ,,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15  ,24th Mar 18
314,315,Halo 2,XB,Microsoft Game Studios  ,Bungie Studios  ,N/A  ,9.6  ,N/A  ,8.00m,,,,,,09th Nov 04  ,11th Oct 18
319,320,The Sims 3,PC,Electronic Arts  ,EA Redwood Shores  ,8.8  ,8.5  ,N/A  ,,7.96m,1.01m,6.46m,,0.50m,02nd Jun 09  ,
321,322,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.8  ,N/A  ,,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05  ,
323,324,God of War III,PS3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.4  ,9.2  ,9.4  ,7.60m,,,,,,16th Mar 10  ,
324,325,Pokémon Platinum Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.3  ,8.9  ,7.60m,,,,,,22nd Mar 09  ,
325,326,The Legend of Zelda: Ocarina of Time,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.9  ,10.0  ,7.60m,,,,,,23rd Nov 98  ,
326,327,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,8.6  ,N/A  ,,7.58m,3.78m,2.17m,1.31m,0.31m,31st Oct 97  ,
327,328,Call of Duty: Advanced Warfare,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.5  ,N/A  ,,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  ,04th Jan 18
330,331,Call of Duty: World at War,X360,Activision  ,Treyarch  ,8.8  ,8.5  ,7.8  ,,7.50m,4.88m,1.91m,,0.71m,10th Nov 08  ,
333,334,Super Mario Galaxy 2,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.8  ,7.41m,,,,,,23rd May 10  ,
334,335,Super Smash Bros. Melee,GC,Nintendo  ,HAL Laboratory  ,N/A  ,9.2  ,N/A  ,7.41m,,,,,,02nd Dec 01  ,
336,337,Battlefield 3,X360,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  ,
339,340,The Legend of Zelda: Twilight Princess,Wii,Nintendo  ,Nintendo EAD  ,9.3  ,9.5  ,9.6  ,7.26m,,,,,,19th Nov 06  ,
340,341,Battlefield 1,PS4,Electronic Arts  ,EA DICE  ,N/A  ,9.1  ,N/A  ,,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16  ,24th Mar 18
341,342,Battlefield 3,PS3,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  ,
342,343,Need for Speed Underground,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.6  ,N/A  ,,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03  ,
344,345,The Binding of Isaac,PC,Edmund McMillen  ,Edmund McMillen  ,N/A  ,8.3  ,N/A  ,7.17m,,,,,,28th Sep 11  ,01st Dec 18
345,346,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.3  ,N/A  ,,7.13m,3.68m,1.75m,1.42m,0.28m,31st Oct 98  ,24th Sep 18
346,347,Pokémon Emerald Version,GBA,Nintendo  ,Game Freak  ,N/A  ,7.7  ,N/A  ,7.06m,,,,,,30th Apr 05  ,
352,353,Need for Speed Underground 2,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.3  ,N/A  ,,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04  ,
354,355,Mario Kart: Double Dash!!,GC,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,6.88m,,,,,,17th Nov 03  ,
355,356,Medal of Honor: Frontline,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,9.0  ,N/A  ,,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  ,
356,357,Crash Bandicoot,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,7.8  ,N/A  ,6.82m,,,,,,01st Sep 96  ,
357,358,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment  ,Naughty Dog  ,9.2  ,9.5  ,9.6  ,,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09  ,
358,359,Call of Duty 4: Modern Warfare,PS3,Activision  ,Infinity Ward  ,N/A  ,9.5  ,9.6  ,,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  ,
361,362,FIFA Soccer 12,PS3,EA Sports  ,EA Canada  ,N/A  ,9.2  ,N/A  ,,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11  ,
363,364,Fallout 4,PC,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,6.60m,,,,,,10th Nov 15  ,24th Mar 18
365,366,Tomodachi Life,3DS,Nintendo  ,Nintendo  ,N/A  ,7.8  ,N/A  ,6.59m,,,,,,06th Jun 14  ,05th Jan 18
366,367,Red Dead Redemption,PS3,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,N/A  ,,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11  ,
367,368,Donkey Kong Country Returns,Wii,Nintendo  ,Retro Studios  ,N/A  ,8.6  ,N/A  ,6.53m,,,,,,21st Nov 10  ,
369,370,Assassin's Creed III,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.8  ,N/A  ,,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12  ,12th Apr 18
370,371,Guild Wars,PC,NCSoft  ,ArenaNet  ,N/A  ,8.7  ,N/A  ,6.50m,,,,,,26th Apr 05  ,
371,372,Red Dead Redemption,X360,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,10.0  ,,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10  ,
372,373,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11  ,01st Apr 18
374,375,Final Fantasy XII,PS2,Square Enix  ,Square Enix  ,N/A  ,9.4  ,9.5  ,6.40m,,,,,,31st Oct 06  ,
375,376,Pokémon Crystal Version,GBC,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,6.39m,,,,,,29th Jul 01  ,06th Jan 18
376,377,Halo 3: ODST,X360,Microsoft Game Studios  ,Bungie  ,8.4  ,8.7  ,N/A  ,,6.35m,4.34m,1.34m,0.06m,0.61m,22nd Sep 09  ,11th Oct 18
377,378,Minecraft,PS4,Sony Computer Entertainment  ,Mojang  ,N/A  ,9.4  ,N/A  ,,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14  ,14th Sep 18
379,380,FIFA 15,PS4,EA Sports  ,EA Canada  ,N/A  ,8.1  ,N/A  ,,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14  ,23rd Mar 18
380,381,Kingdom Hearts,PS2,Square EA  ,SquareSoft  ,N/A  ,8.5  ,N/A  ,6.30m,,,,,,16th Sep 02  ,
381,382,Myst,PC,Broderbund  ,Cyan Worlds  ,N/A  ,8.9  ,N/A  ,6.30m,,,,,,01st Jan 95  ,
383,384,Driver,PS,GT Interactive  ,Reflections Interactive  ,N/A  ,8.5  ,N/A  ,,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99  ,
386,387,Luigi's Mansion: Dark Moon,3DS,Nintendo  ,Next Level Games  ,N/A  ,8.6  ,N/A  ,6.16m,,,,,,24th Mar 13  ,03rd Aug 20
387,388,Big Brain Academy,DS,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,6.15m,,,,,,05th Jun 06  ,
390,391,Metal Gear Solid 2: Sons of Liberty,PS2,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.5  ,7.0  ,,6.05m,2.45m,2.01m,0.87m,0.72m,12th Nov 01  ,
391,392,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo  ,GREZZO  ,N/A  ,9.3  ,N/A  ,6.02m,,,,,,19th Jun 11  ,
396,397,Metal Gear Solid,PS,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.3  ,N/A  ,6.00m,,,,,,21st Oct 98  ,
400,401,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami  ,Kojima Productions  ,9.5  ,9.3  ,9.8  ,,6.00m,2.63m,1.72m,0.83m,0.81m,12th Jun 08  ,
401,402,Euro Truck Simulator 2,PC,SCS Software  ,SCS Software  ,N/A  ,8.5  ,N/A  ,5.98m,,,,,,16th Jan 13  ,31st Dec 17
404,405,Mario Kart: Super Circuit,GBA,Nintendo  ,Intelligent Systems  ,N/A  ,9.3  ,N/A  ,5.91m,,,,,,26th Aug 01  ,
405,406,Super Mario Sunshine,GC,Nintendo  ,Nintendo EAD  ,8.9  ,9.2  ,N/A  ,5.91m,,,,,,25th Aug 02  ,
407,408,Super Mario 3D World,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,N/A  ,9.5  ,N/A  ,5.84m,,,,,,22nd Nov 13  ,02nd Jan 18
409,410,New Super Mario Bros. U,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,5.80m,,,,,,18th Nov 12  ,02nd Aug 20
410,411,Link's Crossbow Training,Wii,Nintendo  ,Nintendo EAD  ,6.9  ,6.9  ,N/A  ,5.79m,,,,,,19th Nov 07  ,
413,414,Tekken 2,PS,Namco  ,Namco  ,N/A  ,9.1  ,N/A  ,,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96  ,
